[04-Apr-2016 10:25:21 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 71
[04-Apr-2016 10:25:38 UTC] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 71
[04-Apr-2016 10:25:39 UTC] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 71
[04-Apr-2016 10:25:40 UTC] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 71
[04-Apr-2016 10:26:01 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:26:02 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:26:07 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:26:08 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:26:09 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:27:30 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:30:15 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:30:41 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:30:48 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:30:53 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:33:41 UTC] PHP Parse error:  syntax error, unexpected 'foreach' (T_FOREACH), expecting ']' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 68
[04-Apr-2016 10:33:43 UTC] PHP Parse error:  syntax error, unexpected 'foreach' (T_FOREACH), expecting ']' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 68
[04-Apr-2016 10:33:58 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:35:10 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 70
[04-Apr-2016 10:41:15 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
[04-Apr-2016 10:41:30 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 72
